Model,MAE,RMSE
triangular + COS,0.9962490959387849,1.0737154812174914
triangular + WA,1.0892662774117225,1.1595879555036321
gaussian + COS,0.5768775302781313,0.653640655005071
gaussian + WA,0.7855206677049381,0.899226805278801
